Source_IP,Source_PORT,Destination_IP,Destination_PORT,TYPE_Protokol,TotalLength,CSD_Payload_1Gram,CSD_Payload_2Gram,CSD_Payload_3Gram,CSD_Payload_4Gram,CSD_Payload_5Gram,CSD_Payload_6Gram,CS_Payload_1Gram,CS_Payload_2Gram,CS_Payload_3Gram,CS_Payload_4Gram,CS_Payload_5Gram,CS_Payload_6Gram,Target
2886808529,137,2886808543,137,1,40,0.1363,0.0692,0.1521,0.1463,0.1406,13.9379,0.911137232,0.911137232,0.782640718,0.911137232,0.911137232,0.9111372,1
2886808529,137,2886808543,137,1,40,1,5.1553,76.3283,4.2977,4.52,2.3,1,1,1,1,1,1,1
3232257838,50929,167840012,7680,3,202,1,3.0776,0.1899,5.2173,2.9181,1,0.98951875,0.98951875,0.75815777,0.98951875,0.98951875,0.9895188,1
2852026205,5353,3758096635,5353,1,40,0.2617,5.1826,12.8941,5.2299,1.0302,0.2636,0.776320104,0.776320104,0.984011254,0.776320104,0.776320104,0.7763201,0
2886808529,5353,3758096635,5353,1,40,73.5193,3.3982,14.7895,0.082,0.1058,1.3603,0.923943108,0.923943108,0.719303101,0.923943108,0.923943108,0.9239431,1
3232257838,50931,167840005,7680,1,40,23.1476,0.3132,3.0166,0.0547,3.1725,0.0553,0.87342357,0.87342357,1,0.87342357,0.87342357,0.8734236,1
2852026205,5353,3758096635,5353,1,40,6.451,0.4959,11.256,0.5492,1,0.9618,0.950203931,0.950203931,0.977327916,0.950203931,0.950203931,0.9502039,1
2886808529,5353,3758096635,5353,1,40,1,0.7012,1,1.5322,2.9181,13.9379,0.977487114,0.977487114,0.990735821,0.977487114,0.977487114,0.9774871,1
3232257838,51100,167840062,7680,1,40,3.7008,0.1369,1,2.0339,1,2.3,0.942425584,0.942425584,0.999903388,0.942425584,0.942425584,0.9424256,1
2852026205,60640,3758096636,5355,1,52,2.6607,0.5132,2.0043,0.2121,0.2534,1,0.322876932,0.322876932,0.904807909,0.322876932,0.322876932,0.3228769,0
3232257838,137,3232260095,137,1,52,0.1136,0.5132,12.8941,3.3982,68.417,1,0.742823612,0.742823612,0.742823623,0.742823612,0.742823612,0.7428236,0
3232257838,50928,167840013,7680,1,52,19.4317,0.5132,5.5041,5.1643,4.52,1,0.722012213,0.722012213,0.730775286,0.722012213,0.722012213,0.7220122,0
2852026205,60640,3758096636,5355,1,52,0.1075,0.0417,1,0.7782,3.7827,0.0553,0.920715121,0.920715121,0.170338564,0.920715121,0.920715121,0.9207151,1
3232257838,137,3232260095,137,1,40,71.4548,5.1826,75.6203,0.5132,69.4236,0.5843,0.910059651,0.910059651,0.998534663,0.910059651,0.910059651,0.9100597,1
3232257838,50931,167840005,7680,1,40,8.5124,7.5098,5.4545,4.3871,0.9412,0.735,0.170863482,0.170863482,0.817357756,0.170863482,0.170863482,0.1708635,0
2852026205,60640,3758096636,5355,3,78,3.7912,9.3783,0.9096,5.2135,2.9181,13.9379,0.831531459,0.831531459,0.173974524,0.831531459,0.831531459,0.8315315,0
2886808529,137,2886808543,137,3,201,14.7319,5.1345,1,5.1923,7.8855,2.3,0.820228692,0.820228692,0.9866817,0.820228692,0.820228692,0.8202287,0
3232257838,50929,167840012,7680,1,40,3.7008,3.9416,5.9403,5.1813,2.9181,2.7509,0.742823612,0.742823612,0.849826062,0.742823612,0.742823612,0.7428236,0
2852026205,60640,3758096636,5355,1,40,3.7008,0.2163,14.7544,0.5132,2.9181,2.3,1,1,0.742823623,1,1,1,1
2886808529,137,2886808543,137,1,40,1.0641,0.2372,30.7851,3.2853,70.0987,0.5893,0.911137232,0.911137232,0.788510464,0.911137232,0.911137232,0.9111372,1
3232257838,50925,3232258764,7680,1,40,3.7008,9.3783,0.2861,5.1637,2.9181,2.3,1,1,0.953500991,1,1,1,1
3232257838,137,3232260095,137,3,328,11.4084,3.2776,27.4079,1.7081,2.9181,0.4037,0.707106781,0.707106781,0.923943132,0.707106781,0.707106781,0.7071068,0
2852026205,137,2852061183,137,3,328,3.7008,0.1882,5.5338,0.5132,0.133,0.5894,0.350429776,0.350429776,0.997472454,0.350429776,0.350429776,0.3504298,0
3232257838,51100,167840062,7680,1,40,1.6312,28.873,76.3247,0.7971,0.6549,0.5893,0.910059366,0.910059366,0.964099893,0.910059366,0.910059366,0.9100594,1
